project_id,legacy_ocms_code,project_name,agency,state,date_of_approval,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,expenditure,physical_progress
705505,N22000362,4th Line Wardha - Nagpur [78.7 Kilometres],Central Railway [CR] - II,Maharashtra,04/2017,05/2018,12/2025,10/2026,637.95,1214.69,1031.75,88
705506,N22000361,3rd Line Manmad - Jalgaon [160 Kilometres],Central Railway [CR] - II,Maharashtra,05/2017,04/2018,12/2024,08/2025,1035.16,1870,1817.02,100
705735,N22000513,Solapur-tuljapur-Osmanabad,Central Railway,Maharashtra,08/2018,12/2023,03/2027,03/2028,904.92,3295.74,1214.94,12
705799,N22000629,Nagpur- Nagbhir Railway Line Gauge Conversion Project,MRIDC,Maharashtra,10/2019,04/2020,12/2025,12/2025,1400,1400,1472,80
706779,N22000092,Mumbai Urban Transport Project [MUTP] - PHASE II,Mumbai Rail Vikas Corporation Ltd.[MRVC],Maharashtra,05/2008,04/2008,03/2014,12/2027,8087,8087,7505.83,90
706780,N22000627,Mumbai Urban Transport Project [MUTP]  Phase-IIIA,Mumbai Rail Vikas Corporation Ltd.[MRVC],Maharashtra,04/2019,04/2019,12/2027,12/2027,33690,33690,3485.59,22
706781,,Mumbai Urban Transport Project Phase-III,Mumbai Rail Vikas Corporation Ltd.[MRVC],Maharashtra,11/2016,12/2016,03/2022,12/2026,10947,10947,6519.14,75
705391,220100288,Jiribam-Imphal new line project,Northeast Frontier Railway [NFR],Manipur,03/2013,12/2007,12/2026,06/2029,14323,21885.9,16020.78,72.1
705491,N22000308,Marikuppam - Kuppam New Line Project [23.70 Km],South Western Railway [SWR] - II,"Multi-States (Andhra Pradesh, Karnataka)",04/2012,10/2018,06/2026,06/2026,297,297,145.78,21
705494,N22000279,Rayadurg-Tumkur via Kalyandurg New Line [207 km],South Western Railway [SWR] - II,"Multi-States (Andhra Pradesh, Karnataka)",03/2008,07/2010,09/2015,02/2028,2496,2496,1888.77,72
705610,N22000587,"Renigunta, Wadi & Gooty Bypass Railway Project",South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Karnataka)",04/2016,04/2016,12/2025,03/2026,302,543,633.71,89.02
617212,,Doubling between Mudkhed  Medchal & Mahbubnagar  Dhone section 417.88 Km,South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Maharashtra, Telangana)",08/2023,08/2023,03/2029,-,4686.09,4686.09,1811.8,2.07
400253,N22000409,Vizianagaram - Titlagarh 3rd line  [272 Km including By - pass line of 7.68 KM],RVNL - II,"Multi-States (Andhra Pradesh, Odisha)",06/2016,11/2016,12/2025,12/2026,4803,6669.91,6194.54,96
705512,N22000377,Doubling of Kottavalasa-Koraput Rail Line [189 KM],East Coast Railway [ECoR] - II,"Multi-States (Andhra Pradesh, Odisha)",12/2015,01/2016,03/2022,03/2028,2500,2500,2129.81,73
400275,N22000085,Tindivanam-Nagari New Line Project [184.5 km],Ministry of Railways,"Multi-States (Andhra Pradesh, Tamil Nadu)",07/2008,10/2008,09/2025,03/2028,3631,3631,1222.79,16.24
616857,,Doubling between Motumari  Vishnupuram - 88.81 Km and Rail over Rail - RoR at Motumari - 10.877 Km,South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Telangana)",02/2024,03/2025,03/2029,-,1595.55,1595.55,171.46,2.03
617211,,Doubling of Guntur Bibinagar 239 Km,South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Telangana)",08/2023,08/2023,03/2029,-,2853.23,2853.23,300.63,2.4
617214,,Rail Connectivity to Errupalem Amravati Namburu 57 Km,South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Telangana)",11/2024,11/2024,03/2027,-,2047.4,2047.4,75.45,0.15
705612,N22000261,Kazipet-Vijayawada 3rd line with electrification [220 km],South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Telangana)",03/2013,08/2014,02/2025,12/2025,1953,3363,5132.1,95
705632,N22000586,Vijayawada - Kazipet Byepass line,South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Telangana)",04/2016,04/2016,01/2025,12/2025,647,904,1229.06,95
705401,N22000208,Murkongselek-Pasighat,Northeast Frontier Railway [NFR] - II,"Multi-States (Arunachal Pradesh, Assam)",02/2011,03/2023,03/2025,12/2026,435,1250,843.65,67
616701,,Lumding Furkating Doubling Project 140 km,Northeast Frontier Railway [NFR],"Multi-States (Assam, Nagaland)",02/2024,01/2025,02/2028,-,2123.7,2123.7,95.64,2
705392,N22000124,Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km],Northeast Frontier Railway [NFR] - II,"Multi-States (Assam, Nagaland)",08/2015,02/2016,03/2025,12/2029,6663,6663,6111.34,42
705794,,New Delhi- Howrah Speed Booster[160Kmph] Project,PCE/NCR,"Multi-States (Bihar, Delhi, Jharkhand, Uttar Pradesh, West Bengal)",09/2019,09/2019,03/2024,-,6684.81,6684.81,127.03,0
616699,,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm,East Central Railway [ECR] - I,"Multi-States (Bihar, Jharkhand)",08/2023,08/2023,03/2028,-,12333.57,12333.6,759.62,17
705375,220100305,Koderma-Tilaiya New Line,East Central Railway [ECR] - I,"Multi-States (Bihar, Jharkhand)",11/2004,03/2002,02/2025,02/2026,1626,2486.62,2184.16,95.4
705385,N22000219,Pirpainti - Jasidih [100.52 Km] New BG line,Eastern Railway [ER] - I,"Multi-States (Bihar, Jharkhand)",03/2014,03/2022,03/2028,03/2028,2555,2555,1108.34,61.6
611669,,NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl]  Chhapra Gramin & Burhwal Jn [Excl]  Sitapur Jn section of high density routes,North Eastern Railway [NER],"Multi-States (Bihar, Uttar Pradesh)",05/2022,06/2023,03/2027,03/2028,380.47,380.47,248.51,20
617224,,Gorakhpur-Valmikinagar Doubling project,NER,"Multi-States (Bihar, Uttar Pradesh)",08/2023,03/2024,12/2027,-,1120,1120,352.79,26.3
705562,N22000134,Chhapra-Ballia Patch Doubling,North Eastern Railway [NER],"Multi-States (Bihar, Uttar Pradesh)",03/2013,12/2015,02/2025,05/2026,963,1046,914.38,95.8
617245,,Katihar Kumedpur & Katihar Mukuria BG Doubling Project,Northeast Frontier Railway [NFR],"Multi-States (Bihar, West Bengal)",08/2022,08/2022,08/2026,02/2027,942.64,942.64,536.69,64
618978,,Gondia - Dongargarh 4th line [84 Km],South Eastern Central Railway,"Multi-States (Chhattisgarh, Maharashtra)",10/2025,10/2025,10/2030,-,2222.53,2222.53,0,0
705617,N22000420,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km],South East Central Railway [SECR] - II,"Multi-States (Chhattisgarh, Maharashtra)",09/2016,12/2016,12/2024,06/2026,3545,3545,3623.47,96
617390,,Sardega -Bhalumuda New Double line [37.24 Km],SECR,"Multi-States (Chhattisgarh, Odisha)",09/2024,09/2024,03/2028,-,1281.81,1281.81,128.07,3
705511,N22000376,Jagdalpur-Koraput,East Coast Railway [ECoR] - II,"Multi-States (Chhattisgarh, Odisha)",12/2015,03/2016,03/2024,12/2026,1547,1547,1369.95,93.86
705616,N22000484,Jharsuguda-Bilaspur Fourth Railway Line [206 km],SECR,"Multi-States (Chhattisgarh, Odisha)",09/2016,09/2016,10/2024,03/2026,2140,2979,2237.23,96
705728,N22000463,Mumbai-Ahmedabad High Speed Rail Project- 508 km,National High Speed Rail Corporation [NHSRC],"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",03/2015,09/2017,08/2027,12/2029,108000,108000,90395.89,59.1
705793,,Raising of speed to 160 kmph/200 kmph on existing New Delhi-Mumbai route incl. Vadodara-Ahmedabad,PCE/WR,"Multi-States (Delhi, Gujarat, Madhya Pradesh, Maharashtra, Rajasthan)",09/2019,09/2019,03/2024,03/2026,6806.44,8095.12,9478.55,66.3
705650,N22000297,Hospet - Tinaighat - Vasco Rail Doubling Project,RVNL - II,"Multi-States (Goa, Karnataka)",03/2010,07/2012,03/2027,12/2027,5060,5060,5299.33,86.13
706950,,Hospet-Hubli-Vasco da Gama Line Electrification Project,RVNL,"Multi-States (Goa, Karnataka)",07/2015,05/2018,03/2023,06/2026,744.49,1122.62,1161.7,99.65
705237,N22000464,Western Dedicated Freight Corridor,DFCCIL,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh)",02/2008,01/2012,03/2022,12/2025,51101,124005,124623,96
705453,N22000139,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar",Western Railway [WR] - II,"Multi-States (Gujarat, Madhya Pradesh)",06/2012,06/2012,02/2027,02/2027,456.07,3516.77,4006.93,53
705454,N22000138,Chhota Udaipur - Dhar New Line Project [157 km],Western Railway [WR] - II,"Multi-States (Gujarat, Madhya Pradesh)",11/2008,01/2014,12/2025,12/2025,1794,1794,1816.87,80.3
611452,N22000434,MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION SYSTEM 500 RKM,Western Railway,"Multi-States (Gujarat, Maharashtra)",09/2019,03/2023,12/2025,12/2026,311,311,263.42,93
400022,N22000592,Taranga Hill-Abu Road via Ambaji,North Western Railway [NWR],"Multi-States (Gujarat, Rajasthan)",07/2022,07/2022,07/2030,07/2030,2798,2798,2321.81,30
616842,,LUNI- SAMDARI- BHILDI DOUBLING,North Western Railway [NWR],"Multi-States (Gujarat, Rajasthan)",02/2024,02/2024,07/2027,-,3085.59,3085.59,661.67,18
705424,N22000467,Chandigarh-Baddi New Rail Line- 36 km,Northen Railway [NR],"Multi-States (Haryana, Himachal Pradesh)",02/2018,02/2018,12/2026,12/2026,1540,1540.13,578.99,42
611861,N22000606,Rewari - Kathuwas Doubling Project [27.72 Km],North Western Railway [NWR],"Multi-States (Haryana, Rajasthan)",02/2023,12/2022,06/2027,06/2027,352,352,306.87,75
705428,N22000273,Bhanupalli-Bilaspur-Beri New Railway Line Project,RVNL - II,"Multi-States (Himachal Pradesh, Punjab)",03/2009,04/2015,12/2026,12/2027,13447,13447,7556.6,63
705628,N22000396,Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km,South Eastern Railway - JH,"Multi-States (Jharkhand, Odisha)",03/2016,02/2017,06/2025,06/2026,3029,3029.04,2589.94,90
616588,,Buramara-Chakulia new line [59.96 km],South Eastern Railway [SER] - I,"Multi-States (Jharkhand, Odisha, West Bengal)",08/2024,12/2024,12/2029,-,1459.13,1459.13,6.97,0
616227,,Chandil - Anara - Damodar - 3rd line [121.26 km],CAO/C/SER,"Multi-States (Jharkhand, West Bengal)",09/2024,07/2025,09/2029,-,1932.01,1932.01,1.97,0
705668,N22000595,KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM,RVNL - I,"Multi-States (Jharkhand, West Bengal)",09/2016,01/2018,03/2025,06/2026,3250,3250,3286.92,97.5
703586,N22000542,Baiyyappanahalli - Hosur Doubling Project [48 km],Karnataka Rail Infrastructure Development Company Limited [K-RIDE],"Multi-States (Karnataka, Tamil Nadu)",04/2019,02/2019,03/2024,01/2026,498.7,748.7,694.91,87.6
705635,N22000399,Trivandrum- Kanyakumari,Southern Railway [SR] - I,"Multi-States (Kerala, Tamil Nadu)",08/2017,03/2016,03/2025,06/2028,1432,3785.45,2874.14,55
